Órgão ofertante,Turma,Código,Disciplina,Docente,Horário,Sala/Lab
CC,,CIN0130,SISTEMAS DIGITAIS,Stefan Blawid,4M34 6M56,E132
CC,,CIN0131,CONCEPCAO DE ARTEFATOS DIGITAIS,Alex Sandro Gomes Giordano Cabral,2M56 6M34,D003
CC,,CIN0132,MATEMÁTICA DISCRETA,Anjolina Grisi Rodrigo Gabriel Ferreira Soares,3M56 5M34,E132
CC,,CIN0133,INTRODUÇÃO À PROGRAMAÇÃO,Ricardo Massa Ferreira Lima Sérgio Soares Fernanda Madeiral Delfim,2M34 3M34,Grad05
CC,,CIN0134,ARQUITETURA DE COMPUTADORES E SISTEMAS OPERACIONAIS,Andson Balieiro,4T45 6T23,D005
CC,,CIN0135,ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Paulo Fonseca,3T23 5T45,Grad05
CC,,CIN0136,DESENVOLVIMENTO DE SOFTWARE,Fabio Silva Paola Rodrigues de Godoy Accioly,2T23 2T45,E233
CC,E9,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4M34 6M56
CC,,IF673,LOGICA PARA COMPUTACAO,Anjolina Grisi,3T23 5T45 3T1,E121
CC,,FI582,FISICA PARA COMPUTACAO,Eglanio José Pessoa da Silva Junior,3T45 5T23 5T1,D002
CC,,CIN0142,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Renata Souza,4T45 6T23,E122
CC,,CIN0134,ARQUITETURA DE COMPUTADORES E SISTEMAS OPERACIONAIS,Andson Balieiro,4T45 6T23,D005
CC,,CIN0135,ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Paulo Fonseca,3T23 5T45,Grad05
CC,,CIN0136,DESENVOLVIMENTO DE SOFTWARE,Fabio Silva Paola Rodrigues de Godoy Accioly,2T23 2T45,E233
CC,E9,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4M34 6M56
CC,,IF673,LOGICA PARA COMPUTACAO,Anjolina Grisi,3T23 5T45 3T1,E121
CC,,FI582,FISICA PARA COMPUTACAO,Eglanio José Pessoa da Silva Junior,3T45 5T23 5T1,D002
CC,,CIN0142,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Renata Souza,4T45 6T23,E122
CC,,CIN0137,BANCO DE DADOS,Valéria Cesário Times,2M56 4M34,E112
CC,,CIN0137,BANCO DE DADOS,Robson Fidalgo,2M56 4M34,E232
CC,,CIN0138,ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Paulo Salgado,2M34 5M56,E132
CC,,CIN0139,INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Kiev Gama Cristiano Coelho de Araújo,3M34 4M56,Grad05
CC,,CIN0140,ALGORITMOS,Gustavo Carvalho,3M56 5M34,E131
CC,,IF679,INFORMATICA E SOCIEDADE,Carina Frota Alves,4M34 6M56 4M2,D005
CC,,IF678,INFRA-ESTRUTURA DE COMUNICACAO,Kelvin Lopes Dias,3M34 5M56,E122
CC,,IF674,INFRA-ESTRUTURA DE HARDWARE,Adriano Augusto de Moraes Sarmento,3M56 5M34 5M2,D002
CC,,IF677,INFRA-ESTRUTURA DE SOFTWARE,Carlos Ferraz,4M56 6M34 6M2,D002
CC,,LE530,INGLES PARA COMPUTACAO,Docente Externo,2M34 2M56 2M2,D005
CC,,CIN0137,BANCO DE DADOS,Valéria Cesário Times,2M56 4M34,E112
CC,,CIN0137,BANCO DE DADOS,Robson Fidalgo,2M56 4M34,E232
CC,,CIN0138,ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Paulo Salgado,2M34 5M56,E132
CC,,CIN0139,INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Kiev Gama Cristiano Coelho de Araújo,3M34 4M56,Grad05
